Kode PL;Deskripsi PL;Profesi
PL01;Lulusan mampu menerapkan ilmu informatika dalam penyelesaian masalah untuk memenuhi kebutuhan dunia usaha dan industri;"AI Enginer;Frontend Developer;Backend Developer;UI/UX Designer;Mobile Developer;Game Developer;Database Administrator;Animator;Videographer;Graphic Designer;Photographer;Startup Founder"
PL02;Lulusan Memiliki pengetahuan yang memadai terkait dengan cara kerja sistem komputer dan mampu merancang dan mengembangkan berbagai produk /metode untuk memecahkan masalah.;Data Scientist
PL03;Lulusan memiliki kemampuan berkolaborasi, berwirausaha dan memimpin dalam menghasilkan karya ekonomi kreatif;Network Engineer
PL04;Lulusan memiliki etika profesionalitas dalam berkarir;Content Creator
